zonedist,Contextual,zoningdistricttype,residfar,facilfar,commfar,mnffar,Column1,verified,
C4-7,Non-contextual,General Commercial, 	10.00 , 	10.00 , 	10.00 ,-,,y,
C5-1,Non-contextual,Restricted Central Commercial, 	10.00 , 	10.00 , 	4.00 ,-,,y,
C5-1A,Contextual,Restricted Central Commercial, 	10.00 , 	10.00 , 	4.00 ,-,,y,
C5-2,Non-contextual,Restricted Central Commercial, 	10.00 , 	10.00 , 	10.00 ,-,,y,
C5-2.5,Non-contextual,Restricted Central Commercial, 	10.00 , 	12.00 , 	12.00 ,-,,y,
C5-2A,Contextual,Restricted Central Commercial, 	10.00 , 	10.00 , 	10.00 ,-,,y,
C5-3,Non-contextual,Restricted Central Commercial, 	10.00 , 	15.00 , 	15.00 ,-,,y,
C5-4,Non-contextual,Restricted Central Commercial, 	10.00 , 	10.00 , 	10.00 ,-,,y,
C5-5,Non-contextual,Restricted Central Commercial, 	10.00 , 	15.00 , 	15.00 ,-,,y,
C5-5,Non-contextual,Restricted Central Commercial, 	10.00 , 	15.00 , 	15.00 ,-,,y,
C5-P,Non-contextual,Restricted Central Commercial, 	8.00 , 	8.00 , 	8.00 ,-,,y,
C6-1,Non-contextual,General Central Commercial, 	3.44 , 	6.50 , 	6.00 ,-,,y,
C6-1A,Contextual,General Central Commercial, 	2.43 , 	4.80 , 	6.00 ,-,,y,
C6-1G,Non-contextual,General Central Commercial, 	3.44 , 	4.80 , 	6.00 ,-,,y,
C6-2,Non-contextual,General Central Commercial, 	6.02 , 	6.50 , 	6.00 ,-,,y,
C6-2A,Contextual,General Central Commercial, 	6.02 , 	6.50 , 	6.00 ,-,,y,
C6-2G,Non-contextual,General Central Commercial, 	6.02 , 	6.50 , 	6.00 ,-,,y,
C6-2M,Non-contextual,General Central Commercial, 	6.02 , 	6.50 , 	6.00 ,-,,y,
C6-3,Non-contextual,General Central Commercial, 	7.52 , 	10.00 , 	6.00 ,-,,y,
C6-3A,Contextual,General Central Commercial, 	7.52 , 	7.50 , 	6.00 ,-,,y,
C6-3D,Contextual,General Central Commercial, 	9.00 , 	9.00 , 	9.00 ,-,,y,
C6-3X,Contextual,General Central Commercial, 	9.00 , 	9.00 , 	6.00 ,-,,y,
C6-4,Non-contextual,General Central Commercial, 	10.00 , 	10.00 , 	10.00 ,-,,y,
C6-4.5,Non-contextual,Restricted Central Commercial, 	10.00 , 	10.00 , 	12.00 ,-,,,
C6-4A,Contextual,General Central Commercial, 	10.00 , 	10.00 , 	10.00 ,-,,y,
C6-4M,Non-contextual,General Central Commercial, 	10.00 , 	10.00 , 	10.00 ,-,,y,
C6-4X,Contextual,General Central Commercial, 	10.00 , 	10.00 , 	10.00 ,-,,y,
C6-5,Non-contextual,General Central Commercial, 	10.00 , 	10.00 , 	10.00 ,-,,y,
C6-5.5,Non-contextual,Restricted Central Commercial, 	10.00 , 	12.00 , 	12.00 ,-,,,
C6-6,Non-contextual,General Central Commercial, 	10.00 , 	15.00 , 	15.00 ,-,,y,
C6-6.5,Non-contextual,Restricted Central Commercial, 	10.00 , 	12.00 , 	12.00 ,-,,,
C6-7,Non-contextual,General Central Commercial, 	10.00 , 	15.00 , 	15.00 ,-,,y,
C6-7T,Non-contextual,Restricted Central Commercial, 	10.00 , 	14.00 , 	14.00 ,-,,y,
C6-9,Non-contextual,General Central Commercial, 	10.00 , 	15.00 , 	15.00 ,-,,y,
C7,Non-contextual,Commercial Amusement,-,-, 	2.00 ,-,,y,
C8-1,Non-contextual,General Service,-, 	2.40 , 	1.00 ,-,,y,
C8-2,Non-contextual,General Service,-, 	4.80 , 	2.00 ,-,,y,
C8-3,Non-contextual,General Service,-, 	6.50 , 	2.00 ,-,,y,
C8-4,Non-contextual,General Service,-, 	6.50 , 	5.00 ,-,,y,
M1-1,Non-contextual,Light Manufacturing,-, 	2.40 , 	1.00 , 	1.00 ,,y,
M1-1/R5,Non-contextual,Mixed Use, 	1.25 , 	2.00 , 	1.00 , 	1.00 ,,y,
M1-1/R6A,Contextual,Mixed Use, 	3.00 , 	3.00 , 	1.00 , 	1.00 ,,y,
M1-1/R7-2,Contextual,Mixed Use, 	3.44 , 	6.50 , 	1.00 , 	1.00 ,,y,
M1-1/R7D,Contextual,Mixed Use, 	4.20 , 	4.20 , 	1.00 , 	1.00 ,,y,
M1-1D,Non-contextual,Light Manufacturing,-, 	2.40 , 	1.00 , 	1.00 ,,y,
M1-2,Non-contextual,Light Manufacturing,-, 	4.80 , 	2.00 , 	2.00 ,,y,
M1-2/R5B,Contextual,Mixed Use, 	1.35 , 	2.00 , 	2.00 , 	2.00 ,,y,
M1-2/R5D,Contextual,Mixed Use, 	2.00 , 	2.00 , 	2.00 , 	2.00 ,,y,
M1-2/R6,Non-contextual,Mixed Use, 	2.43 , 	4.80 , 	2.00 , 	2.00 ,,y,
M1-2/R6A,Contextual,Mixed Use, 	3.00 , 	3.00 , 	2.00 , 	2.00 ,,y,
M1-2/R6B,Contextual,Mixed Use, 	2.00 , 	2.00 , 	2.00 , 	2.00 ,,y,
M1-2/R7-2,Non-contextual,Mixed Use, 	3.44 , 	6.50 , 	2.00 , 	2.00 ,,y,
M1-2/R7A,Contextual,Mixed Use, 	4.00 , 	4.00 , 	2.00 , 	2.00 ,,y,
M1-2/R8,Non-contextual,Mixed Use, 	6.02 , 	6.50 , 	2.00 , 	2.00 ,,y,
M1-2/R8A,Contextual,Mixed Use, 	6.02 , 	6.50 , 	2.00 , 	2.00 ,,y,
M1-2D,Non-contextual,Light Manufacturing,-, 	4.80 , 	2.00 , 	2.00 ,,y,
M1-3,Non-contextual,Light Manufacturing,-, 	6.50 , 	5.00 , 	5.00 ,,y,
M1-3/R7X,Contextual,Mixed Use, 	5.00 , 	5.00 , 	5.00 , 	5.00 ,,y,
M1-3/R8,Non-contextual,Mixed Use, 	6.02 , 	6.50 , 	5.00 , 	5.00 ,,y,
M1-4,Non-contextual,Light Manufacturing,-, 	6.50 , 	2.00 , 	2.00 ,,y,
M1-4/R6A,Contextual,Mixed Use, 	3.00 , 	3.00 , 	2.00 , 	2.00 ,,y,
M1-4/R6B,Contextual,Mixed Use, 	2.00 , 	2.00 , 	2.00 , 	2.00 ,,y,
M1-4/R7-2,Non-contextual,Mixed Use, 	3.44 , 	6.50 , 	2.00 , 	2.00 ,,y,
M1-4/R7A,Contextual,Mixed Use, 	4.00 , 	4.00 , 	2.00 , 	2.00 ,,y,
M1-4/R7D,Contextual,Mixed Use, 	4.20 , 	4.20 , 	2.00 , 	2.00 ,,y,
M1-4/R7X,Contextual,Mixed Use, 	5.00 , 	5.00 , 	2.00 , 	2.00 ,,y,
M1-4/R8A,Contextual,Mixed Use, 	6.02 , 	6.50 , 	2.00 , 	2.00 ,,y,
M1-4D,Non-contextual,Light Manufacturing,-, 	6.50 , 	2.00 , 	2.00 ,,y,
M1-5,Non-contextual,Light Manufacturing,-, 	6.50 , 	5.00 , 	5.00 ,,y,
M1-5/R10,Non-contextual,Mixed Use, 	10.00 , 	10.00 , 	5.00 , 	5.00 ,,y,
M1-5/R7-2,Non-contextual,Mixed Use, 	3.44 , 	6.50 , 	5.00 , 	5.00 ,,y,
M1-5/R7-3,Non-contextual,Mixed Use, 	5.00 , 	5.00 , 	5.00 , 	5.00 ,,y,
M1-5/R7X,Contextual,Mixed Use, 	5.00 , 	5.00 , 	5.00 , 	5.00 ,,y,
M1-5/R8A,Contextual,Mixed Use, 	6.02 , 	6.50 , 	5.00 , 	5.00 ,,y,
M1-5/R9,Non-contextual,Mixed Use, 	7.52 , 	10.00 , 	5.00 , 	5.00 ,,y,
M1-5/R9-1,Non-contextual,Mixed Use, 	9.00 , 	10.00 , 	5.00 , 	5.00 ,,y,
M1-5A,Non-contextual,Light Manufacturing,-, 	6.50 , 	5.00 , 	5.00 ,,y,
M1-5B,Non-contextual,Light Manufacturing,-, 	6.50 , 	5.00 , 	5.00 ,,y,
M1-5M,Non-contextual,Light Manufacturing,-, 	6.50 , 	5.00 , 	5.00 ,,y,
M1-6,Non-contextual,Light Manufacturing,-, 	10.00 , 	10.00 , 	10.00 ,,y,
M1-6/R10,Non-contextual,Mixed Use, 	10.00 , 	10.00 , 	10.00 , 	10.00 ,,y,
M1-6/R9,Non-contextual,Mixed Use, 	7.52 , 	10.00 , 	10.00 , 	10.00 ,,y,
M1-6D,Contextual,Mixed Use, 	10.00 , 	10.00 , 	10.00 , 	10.00 ,,y,
M2-1,Non-contextual,Medium Manufacturing,-,-, 	2.00 , 	2.00 ,,y,
M2-2,Non-contextual,Medium Manufacturing,-,-, 	5.00 , 	5.00 ,,y,
M2-3,Non-contextual,Medium Manufacturing,-,-, 	2.00 , 	2.00 ,,y,
M2-4,Non-contextual,Medium Manufacturing,-,-, 	5.00 , 	5.00 ,,y,
M3-1,Non-contextual,Heavy Manufacturing,-,-, 	2.00 , 	2.00 ,,y,
M3-2,Non-contextual,Heavy Manufacturing,-,-, 	2.00 , 	2.00 ,,y,
PARK,-,-,-,-,-,-,,,
PLAYGROUND,-,-,-,-,-,-,,,
PUBLIC PLACE,-,-,-,-,-,-,,,
R10,Non-contextual,High-Density Residence District, 	10.00 , 	10.00 ,-,-,,y,
R10A,Contextual,High-Density Residence District, 	10.00 , 	10.00 ,-,-,,y,
R10H,Non-contextual,High-Density Residence District, 	10.00 , 	10.00 ,-,-,,y,
R1-1,Non-contextual,Low-Density Residence District, 	0.50 , 	1.00 ,-,-,,y,
R1-2,Non-contextual,Low-Density Residence District, 	0.50 , 	1.00 ,-,-,,y,
R1-2A,Contextual,Low-Density Residence District, 	0.50 , 	1.00 ,-,-,,y,
R2,Non-contextual,Low-Density Residence District, 	0.50 , 	1.00 ,-,-,,y,
R2A,Contextual,Low-Density Residence District, 	0.50 , 	1.00 ,-,-,,y,
R2X,Contextual,Low-Density Residence District, 	0.85 , 	1.00 ,-,-,,y,
R3-1,Contextual,Low-Density Contextual Residence District, 	0.50 , 	1.00 ,-,-,,y,
R3-2,Non-contextual,Low-Density Residence District, 	0.50 , 	1.00 ,-,-,,y,
R3A,Contextual,Low-Density Residence District, 	0.50 , 	1.00 ,-,-,,y,
R3X,Contextual,Low-Density Residence District, 	0.50 , 	1.00 ,-,-,,y,
R4,Non-contextual,Low-Density Residence District, 	0.75 , 	2.00 ,-,-,,y,
R4-1,Contextual,Low-Density Contextual Residence District, 	0.75 , 	2.00 ,-,-,,y,
R4A,Contextual,Low-Density Residence District, 	0.75 , 	2.00 ,-,-,,y,
R4B,Contextual,Low-Density Residence District, 	0.90 , 	2.00 ,-,-,,y,
R5,Non-contextual,Low-Density Residence District, 	1.25 , 	2.00 ,-,-,,y,
R5A,Contextual,Low-Density Residence District, 	1.10 , 	2.00 ,-,-,,y,
R5B,Contextual,Low-Density Residence District, 	1.35 , 	2.00 ,-,-,,y,
R5D,Contextual,Low-Density Residence District, 	2.00 , 	2.00 ,-,-,,y,
R6,Non-contextual,Medium-Density Residence District, 	2.43 , 	4.80 ,-,-,,y,
R6A,Contextual,Medium-Density Residence District, 	3.00 , 	3.00 ,-,-,,y,
R6B,Contextual,Medium-Density Residence District, 	2.00 , 	2.00 ,-,-,,y,
R7-1,Non-contextual,Medium-Density Residence District, 	3.44 , 	4.80 ,-,-,,y,
R7-2,Non-contextual,Medium-Density Residence District, 	3.44 , 	6.50 ,-,-,,y,
R7-3,Non-contextual,Medium-Density Residence District, 	5.00 , 	5.00 ,-,-,,y,
R7A,Contextual,Medium-Density Residence District, 	4.00 , 	4.00 ,-,-,,y,
R7B,Contextual,Medium-Density Residence District, 	3.00 , 	3.00 ,-,-,,y,
R7D,Contextual,Medium-Density Residence District, 	4.20 , 	4.20 ,-,-,,y,
R7X,Contextual,Medium-Density Residence District, 	5.00 , 	5.00 ,-,-,,y,
R8,Non-contextual,High-Density Residence District, 	6.02 , 	6.50 ,-,-,,y,
R8A,Contextual,Medium-Density Residence District, 	6.02 , 	6.50 ,-,-,,y,
R8B,Contextual,Medium-Density Residence District, 	4.00 , 	4.00 ,-,-,,y,
R8X,Contextual,Medium-Density Residence District, 	6.02 , 	6.00 ,-,-,,y,
R9,Non-contextual,High-Density Residence District, 	7.52 , 	10.00 ,-,-,,y,
R9A,Contextual,High-Density Residence District, 	7.52 , 	7.50 ,-,-,,y,
R9X,Contextual,High-Density Residence District, 	9.00 , 	9.00 ,-,-,,y,
,,,,,,,,,
